"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"1389","Full text","https://www.legislation.gov.au/Details/C2017C00266","","25/04/2019","8781","Legislation"
"1382","Full text","https://www.legislation.gov.au/Details/C2018C00446","","25/04/2019","8783","Legislation"
"1381","Full text (PDF)","http://www.maff.go.jp/j/kanbo/kankyo/seisaku/pdf/pdf/tekiou_eng.pdf","","26/04/2019","8785","Legislation"
"1380","Full text (Japanese) (PDF)","http://www.mlit.go.jp/common/001111532.pdf","","19/04/0026","8787","Legislation"
"1379","Full text (PDF)","http://www.env.go.jp/policy/kihon_keikaku/plan/plan_5/attach/ref_en-01.pdf","","19/04/0030","8789","Legislation"
"1374","Full text (PDF)","http://extwprlegs1.fao.org/docs/pdf/ang168058.pdf","","16/07/2019","8876","Legislation"
"1373","PANCOD","http://extwprlegs1.fao.org/docs/pdf/ang132051.pdf","","16/07/2019","8862","Legislation"
"1372","Full text (PDF)","https://www.cas.go.jp/jp/seisaku/kokudo_kyoujinka/en/fundamental_plan.pdf","","04/05/2019","8801","Legislation"
"1342","Full Text (PDF)","https://dfat.gov.au/about-us/publications/Documents/investing-safer-future-disaster-risk-reduction-policy.pdf","","19/04/0015","8775","Legislation"
"1263","full text from governmental website (PDF)","http://www.minambiente.gov.co/images/cambioclimatico/pdf/Politica_Nacional_de_Cambio_Climatico_-_PNCC_/PNCC_Politicas_Publicas_LIBRO_Final_Web_01.pdf","","20/08/2019","9110","Legislation"
"1229","Full text (PDF)","http://extwprlegs1.fao.org/docs/pdf/jap158113.pdf","","19/04/0026","8809","Legislation"
"1212","Angola Energy 2025","http://www.angolaenergia2025.com/sites/default/files/editor/livro_angola_energia_2025_baixa.pdf","","08/08/2019","8900","Legislation"
"1200","Full text (PDF) (Japanese)","http://www.bousai.go.jp/taisaku/keikaku/pdf/kihon_basic_plan180629.pdf","","19/05/0001","8799","Legislation"
"1197","Full text (PDF)","https://www.ifrc.org/docs/IDRL/Japan_DMAct_1961.pdf","","30/04/2019","8797","Legislation"
"1189","Full text (Japanese) (PDF)","http://www.bousai.go.jp/taisaku/choui/pdf/siryo2-1.pdf","","19/04/0026","8795","Legislation"
"1179","Full text (PDF)","https://www.ifrc.org/docs/idrl/502EN.pdf","","19/04/0026","8791","Legislation"
"1176","full text (link to official website)","http://www.ejustice.just.fgov.be/cgi/article_body.pl?language=fr&caller=summary&pub_date=19-03-29&numac=2019030319","","05/09/0019","9189","Legislation"
"1090","Law 1955 of 2019 - National Development Plan","https://achc.org.co/wp-content/uploads/2019/05/Ley-1955de-2019-PND.pdf","","25/09/2019","9347","Legislation"
